compound,1-D9-ATQ-1,2-D9-ATQ-2,3-D9-ND-1,4-D9-ND-2,5-D9-200nM-1,6-D9-200nM-2,7-D9-500nM-1,8-D9-500nM-2,9-D9-2uM-1,10-D9-2uM-2,11-E9-ATQ-1,12-E9-ATQ2,13-E9-ND-1,14-E9-ND-2,15-E9-200nM-1,16-E9-200nM-2,17-E9-500nM-1,18-E9-500nM-2,19-E9-2uM-1,20-E9-2uM-2,21-FG0305-ATQ-1,22-FG0305-ATQ-2,23-FG0305-ND-1,24-FG0305-ND-2,25-FG0305-200nM-1,26-FG0305-200nM-2,27-FG0305-500nM-1,28-FG0305-500nM-2,29-FG0305-2uM-1,30-FG0305-2uM-2,QC-1,QC-2,QC-3,QC-4,QC-5,QC-6
benzoate,49444716.44,62339413.25,44729223.42,54689229.23,46282286.51,47480945.06,50183433.23,42762507.59,45339896.38,50937229.94,59479538.81,60552770.37,64576966.22,64163533.89,60317538.74,63837197.02,49971997.93,55476793.27,51767130.03,58801314.37,70650381.43,63877685.34,70269039.01,69988764.75,46448525.77,71480898.21,62824997.13,62987186.61,79354824.81,65383406.98,42046309.99,45311628.24,42142577.86,43470655.05,42150780.2,41841761.47
CDP-ethanolamine,9431032.166,10415060.72,12000644.91,12506111.63,7906451.182,7993671.822,10590964.68,9956987.896,9532735.908,11405541.02,12256709.41,9357312.086,16043169.16,14455954.93,11149390.74,11758839.7,17791564.75,13273302.69,9385623.039,10755581.68,24611578.71,32081479.92,28180351.7,28994025.35,22336088.08,24502636.38,25291988.78,28342254.96,23813855.01,24187383.8,23425253.07,23917031.46,22050180.97,25257901.21,23666885.09,22239993.5
phosphoserine,358417.237,359909.8291,388832.3015,414080.9604,304296.6355,293610.7336,421200.2133,402127.9641,348922.3979,335615.5624,305678.9014,330882.2319,361259.6762,342099.2319,359128.7555,352338.6669,438211.1402,317172.6911,332209.7899,323732.3201,367954.9229,370883.3039,325367.6933,411582.0145,384983.6668,484322.4852,511115.8601,447182.0554,346053.9093,349821.5943,914988.8556,982673.9517,918117.7411,971567.9255,945657.8307,943095.1083
dGMP/AMP,22475007.69,29177317.01,31965702.33,51179631.51,19900065.64,18739095.43,25872764.07,24243344.4,26279916.13,48957648.65,107090570.7,82602787.35,107639284.1,157972480.2,64523680.05,61975214.06,87838601.69,106619961.4,78789440.53,112251635.4,63041891.38,77431250.06,67719446.75,73719890.58,51534060.53,53391391.75,51514795.85,65861593.54,53037782.06,45447290.96,98532174.14,93322374.45,90635644.79,95616612.4,89047746.35,94280522.91
dGDP/ADP,9310271.795,19503112.78,12999400.1,26482226.29,13627875.25,15096373.7,11842385.74,10288442.65,8588626.364,14106806.21,76420397.35,57252468.39,79280847.86,80640596.51,54927535.75,53435330.08,91121862.41,81718045.44,54190579.39,57338828.56,42037771.74,52720176.76,45288026.7,47847513.29,37572617.75,38730256.67,36511100.27,48228449.48,42259399.45,43889250.66,47756613.07,49546095.22,46174107.65,46645778.36,45117981.74,44097584.37
aspartate,30541478.88,36996266.63,31496047.51,34982083.48,30059156.81,30834131.55,47887523.8,30195753.86,34420575.83,37300692.46,30853822.73,27995073.68,39940932.67,36342493.48,32125686.46,37322938.21,41001317.76,34016550.98,40509839.18,40690768.04,37480691.2,41087502.65,45023377.74,44717177.42,40670394.85,47951698.78,49633448.03,46394502.99,53766502.05,46685458.06,58437981.23,58676688.87,58749225.58,58917167.45,58356178.2,58874031.07
ADP-glucose,468171.0163,911008.7769,516847.5808,763440.0233,652162.6008,733142.2786,494021.6328,485666.4475,371767.8967,464529.0574,1857955.977,1448229.752,1950720.17,1791885.628,1393733.591,1519287.112,2374928.284,2009166.383,1323559.066,1353812.562,1259564.324,1677654.061,1264141.43,1426435.179,1048854.846,1170855.455,1105938.812,1346474.787,1324496.197,1381214.812,1164709.089,1171625.111,1128149.429,1156774.049,1035698.781,1084702.009
S-adenosylhomocysteine,3560474.479,3702299.741,3778912.549,3949608.725,2655538.4,2522618.071,3612600.19,3261616.429,3212651.135,3780016.413,4412641.427,3619890.294,4820085.182,4459136.934,3752627.812,3710218.464,5477238.472,4405336.654,2981765.917,3479200.758,1420789.6,1934757.52,1652666.482,1604602.273,1216836.737,1505179.43,1470046.501,1568025.157,1414923.732,1518121.64,3658398.62,3697683.625,3653759.532,3998443.311,3701681.654,3797934.347
IMP,26893763.02,30233259.88,24565897.84,26732580.78,19617614.41,18628512.49,21280351.53,22721455.07,18770589.65,23689983.98,44457826.44,34294612.11,39063274.53,36632138.02,28136672.93,29162497.07,42393052.67,36518492.68,28056490.06,29703657.8,27911130.06,35686655.02,30371657.77,30740076.34,23120498.12,24980718.86,26131370.81,28600698.39,24785514.65,26291117.89,27144230.51,26383419.71,26083962.57,28172500.12,27372648.34,27182883.06
mevalonate,1137633.646,1525677.262,1047599.472,1273769.447,1122846.421,1158538.371,1913307.136,913118.2086,945760.1295,1217190.027,876609.5546,749285.2561,1216933.992,730847.241,856573.4697,1019816.843,1354738.646,882506.3529,672620.5216,645686.0681,586835.6755,935507.1249,682581.6515,607085.9132,649369.9691,688274.0491,605250.3245,619271.2901,1201789.81,894654.4753,1709249.168,1832663.764,1753379.511,1906286.519,1677993.958,1772953.63
