compound,1-D9-ATQ-1,2-D9-ATQ-2,3-D9-ND-1,4-D9-ND-2,5-D9-200nM-1,6-D9-200nM-2,7-D9-500nM-1,8-D9-500nM-2,9-D9-2uM-1,10-D9-2uM-2,11-E9-ATQ-1,12-E9-ATQ2,13-E9-ND-1,14-E9-ND-2,15-E9-200nM-1,16-E9-200nM-2,17-E9-500nM-1,18-E9-500nM-2,19-E9-2uM-1,20-E9-2uM-2,21-FG0305-ATQ-1,22-FG0305-ATQ-2,23-FG0305-ND-1,24-FG0305-ND-2,25-FG0305-200nM-1,26-FG0305-200nM-2,27-FG0305-500nM-1,28-FG0305-500nM-2,29-FG0305-2uM-1,30-FG0305-2uM-2,QC-1,QC-2,QC-3,QC-4,QC-5,QC-6
NADP+,3315370.943,6190625.213,3913700.213,5959168.707,4598052.456,4795185.411,3305158.802,3580509.354,2908015.559,3555896.422,13215862.41,9453759.518,13619158.53,12274225.91,9633476.651,9722599.895,15786541.42,13715645.12,8829994.359,9725834.753,8047349.474,11006669.77,8805794.254,8863045.597,6886457.063,7209470.393,7416723.356,8957385.737,8559371.198,8986773.778,9014558.518,9660905.156,8942516.525,9358598.141,9707720.389,9468575.579
Hypoxanthine,195869256.9,188842670.4,120320300.2,123404023.8,147512991.7,161708532.7,222687685.7,123066035.4,141542723.1,163397966.8,39219926.76,23404638.8,58106299.96,22169642.96,38523414.28,53656591.48,82912856.83,39698075.57,24010455.11,20854637.14,44551541.07,89936402.27,41958551.61,43359651.11,69988088.36,60299793.97,56483100.98,56727722.88,118956179.1,76908660.03,123938290.5,118618788.9,111614495.1,136951764,119889732.1,120887382.8
folate,225575.5912,495550.0979,308417.2308,428238.7685,285980.5041,393553.6798,497790.223,301717.1961,288634.9867,416579.7708,946814.2048,673321.049,1055609.051,935880.7196,647564.8792,782696.1257,1384424.348,823655.2974,615619.8099,727761.638,421372.3189,748844.8425,557529.6865,520870.5548,379034.0085,305649.3346,315627.9739,409553.6323,653014.1462,525850.5868,978437.7958,923117.8931,839067.2234,895996.839,836217.1473,878690.6769
glutathione disulfide,35640681.94,36198108.26,39830853.62,38394615.21,28357161.56,26282724.66,31206589.08,31239742.87,32722906.06,38128304.14,54715733.49,40791173.7,56620174.21,51452861.39,40834239.74,50447122.36,68664132.41,56669556.84,55483894.77,50082673.28,75247299.92,95831791.59,79050505.55,81663374.39,68596426.83,87454436.58,91929145.97,86809875.38,75373670.44,73726510.99,76794367.05,84065034.07,78354187.28,82464933.48,83468636.7,82997813.66
dAMP,166227.238,212491.013,225342.7645,343958.1833,116814.4929,98794.5036,145327.0559,142792.2935,159128.1123,291845.2201,1453488.319,1064290.211,1140294.539,1580802.993,702287.9166,599865.9102,829079.3287,1128940.959,882242.4533,1254713.179,781268.0664,899033.5937,951311.5188,914927.6108,615312.3272,662664.3509,713573.7558,791614.8846,689506.3803,595719.5425,927360.4491,952283.6967,996775.9768,994717.1589,989295.0215,984127.9124
GLYCOLALDEHYDE DIMER,50840425.21,55024936.05,64831394.99,60509497.91,49809758.43,51436680.3,61498117,44834528.69,50258424.57,56308645.8,45983723.46,42772950.07,50677153.51,42474553.89,41882462.12,47276181.93,53026282.2,45979881.19,47911452.25,46369820.54,56773579.38,68748825.44,61499676.27,58549185.18,49114370.12,66423543.49,65564694.86,53478069.1,66821992.4,61400038.21,42507977.42,45433910.06,46765182.35,48584625.34,41555533.68,42615855.11
VD ,499824.0619,507228.8273,476417.5461,550271.6796,337603.7296,342361.6455,597852.3564,583404.1552,1336788.704,1406300.606,786667.0766,665822.8349,810297.1469,840469.3428,595423.0193,560562.3234,1289255.647,1236335.122,1692107.362,1919099.811,1311163.332,1776130.575,1486700.331,1441130.279,1534252.658,1928599.245,1965072.454,2158934.9,2275648.786,2123656.779,876315.8466,957799.4337,889730.229,945776.8513,914401.08,971360.7891
1_3-Bisphosphoglyceric Acid,989516.281,2096940.44,1157066.078,1570200.829,1458640.414,1827779.43,1208040.27,1155026.139,874427.709,1068384.139,3638488.482,3366465.31,3883168.92,3414934.636,3165430.967,3086549.164,3946814.998,3494253.164,2382945.396,2675695.705,3371647.323,4422911.325,3920600.471,3788157.241,3135289.421,3007733.967,2974086.308,3358224.24,3783935.952,4167598.466,2349296.005,2479306.291,2376618.969,2354479.986,2468745.392,2480272.674
GDP-mannose,1953180.192,3555233.102,2239642.543,2962066.776,2629408.145,2889392.485,2275120.331,2104532.808,1811608.505,2124667.234,5676998.021,4234431.758,5564565.665,5085612.458,4094651.432,4638431.317,7215930.385,5866833.435,4031196.767,3504529.889,5271041.682,7159159.502,5248465.364,5448291.258,4591593.672,4987097.7,4861405.579,5923821.298,5717900.409,6018328.333,5407371.095,5286742.394,4859302.451,4984206.941,4643479.154,4575747.935
2-hydroxyphenylacetate,3231682.58,4301187.625,3332116.933,3544252.16,3519028.274,3791034.11,3390896.619,2716318.114,2799197.993,3189291.606,6339954.092,4896724.014,6420674.299,5699923.457,4554981.456,4583927.926,5472798.024,6419294.335,4040093.859,4597840.652,5321578.624,6714568.768,7066142.881,6430200.541,5295499.369,5302856.228,4867350.949,5217277.298,6243209.726,6216668.993,3179319.45,3145997.426,2969052.898,3489268.998,2890849.82,2769544.747
dTDP,113902.1922,191672.1664,246869.0488,513068.0045,214161.662,250316.5632,224105.2225,183029.572,178176.5192,263667.0532,1009531.448,760256.964,1641383.559,1926944.996,1101249.848,1100367.763,1629836.089,1561434.001,1087327.022,1333892.412,1115912.303,1440883.86,1564004.731,1582408.876,1198121.838,1187805.589,1145657.955,1461308.152,1255113.29,1173221.405,1367191.321,1274817.997,1186656.823,1207122.35,1188424.546,1207673.709
sebacate,50748181.68,53799447.99,45306466.25,49329940.76,50073330.28,49812558.89,51201024.19,35268153.69,44475733.31,51725027.91,59283110.32,54489883.41,57772278.3,55592468.41,54147790.23,52345329.92,64379674.8,64578517.37,43793789.78,51289090.51,64498005,87300280.27,75021678.35,71338649.15,41602456.03,66704340.7,55745109.32,70690855.81,75924902.63,75465947.02,36027329.26,37141429.02,35506755.56,38394431.88,39582022.29,37828430.9
tyrosine,38999772.94,42505940.7,31906661.75,34149623.7,31377241.91,30865983.06,48651926.45,27175765.34,33376341.39,38237808.57,30819929.52,23146692.87,37043087.07,24664435.12,25459093.67,29629164.52,44564840.29,34522247.67,28862674.2,29737269.87,35649113.53,56995994.03,39898874.84,38443677.81,32355478.89,38506449.35,36989594.18,37945831.24,56118637.46,44422472.73,51107946.54,59037108.05,51039518.52,54450640.97,54326891.5,53849364.53
hippurate,1968188.308,2522238.054,1594895.84,2088956.054,2352298.672,2114723.122,1931811.624,2064539.338,1822247.359,2743724.718,6450195.485,4520941.613,6187076.294,4692759.553,3606405.799,4219795.958,6883911.551,7256770.176,2754872.499,4504625.577,3052684.279,6232008.902,4861898.747,3696868.721,2720157.344,2145192.077,1944853.108,4382487.393,3886114.435,5216383.488,3164120.082,3308162.749,3161749.513,3052163.273,3321031.361,3188048.377
ribose 1_5-bisphosphate,809356.6738,948538.6413,787193.1585,902572.3805,694339.1749,657345.5482,775363.0708,705576.9525,663304.3999,869881.4108,1017812.095,867326.5002,1032984.273,933167.9858,763498.1824,833109.9033,1217808.112,974403.2996,710559.9625,777813.7085,892752.5764,1295761.126,1018010.923,985901.2418,779471.0603,883450.8603,813013.8627,922712.1425,896617.0465,988556.2146,1108454.948,1214189.123,1088301.803,1224698.74,1168797.9,1228789.435
G3P/DHAP,3829375.894,3159668.664,3079776.586,2187063.727,2394423.679,2589050.568,3297149.869,3042753.108,3044154.157,2449250.702,1629104.189,1534554.773,1725781.848,1529777.622,1369751.48,1664782.837,2025746.492,1321750.472,1493405.439,1285186.652,6659778.426,7255752.776,5085925.225,5572411.322,5451936.127,6410378.83,6989002.841,6451207.987,6967244.158,5798253.485,6754352.505,6335224.68,5952594.175,6373763.604,5629364.23,5579440.369
itaconate,26693310,26965419.92,23838930.97,23892744.96,21404852.51,20416740.25,24208000.18,21971010.04,22031361.45,24069877.16,28481316.27,24419594.32,26925572.04,24838927.26,22064277.97,22798819.15,29035912.52,26369684.68,23120156.49,23217852.28,34494726.21,44517841.44,35517001.06,34932932.95,29529729.27,36582648.1,35261780.01,37343681.62,35931239.49,33876096.64,21968997.02,25376424.43,23156857.62,25066956.28,24545952.28,24270100.88
thymidine-monophosphate,51092.40192,130149.1476,287591.847,590861.0293,120150.013,86434.17424,190062.9946,186339.6427,216578.468,388912.7292,666119.4301,520064.9473,1049762.025,1548005.871,601755.0543,538307.8989,723746.2557,1107568.668,989081.6558,1375660.737,987834.7881,1199469.578,1355646.07,1447915.484,947118.9872,1105131.266,1116188.257,1299595.779,969444.9716,841829.4118,1786435.436,1891243.441,1886369.872,1860020.776,1927660.919,1958859.024
5-aminolevulinate,15224418.51,19434272.43,12710732.86,15166112.08,13418436.64,14625037.47,23124828.21,11018507.5,12638379.67,16979545.39,9331878.665,7533096.963,11795923.83,8504288.559,8879700.166,10724866.48,13986672.04,9216066.729,8087198.881,7741883.192,10417524.83,15947066.61,12349554.91,12026317.51,10946684.83,12955993.79,12528546,10530357.01,16400361.85,12965970.91,23469156.89,24009647.73,23650412.16,26413555.05,26149764.34,25319082.7
nicotinamide hypoxanthine dinucleotide,1317585.28,1856659.845,1731982.114,1806692.613,1102592.157,1072487.412,1212494.699,1407899.319,1335316.204,1412004.742,2047107.072,1582554.026,2199046.843,2153989.371,1581225.258,1476855.784,2368844.982,2043158.459,1434379.738,1689676.44,2273184.564,2859489.657,2662425.346,2551543.331,1840845.033,2293055.047,2335963.219,2265306.577,2070932.659,2191652.111,4964856.804,5504520.576,4856979.954,5597801.076,5531083.05,5417559.419
Pyroglutamic acid,6553626.406,9002899.967,6031039.859,7119180.508,6337228.725,6841774.898,11536065.06,5134471.24,5484059.723,6922353.875,4762626.279,3707867.436,6222433.467,3764511.636,4547794.593,5335669.974,7640975.601,4755832.944,3627709.165,3575580.766,2930104.749,5177513.601,3577985.088,3297510.566,3461865.561,3624902.994,3318175.458,3182057.865,6311285.506,4831479.424,9373190.831,10043769.69,9748263.236,11329537.17,10223891.79,10521953.24
ethylmalonate/Glutarate,230367630.2,253749425,125045964.5,187118939.8,226430914.9,234850294.3,244467629.8,158860489.6,148224488.9,191340351.2,278102317,171166681.8,277857279.5,201741806.5,190751477.6,202351090.5,327161483.8,286126701.7,129771860.2,160122507,225653416.6,377942850.9,286604047.2,259069636,226657806.3,171866350.8,165876570.9,262050516.6,299035307.5,311896845.9,195232281,183471486.9,186716311.5,194459824.1,159077762.2,168221864.8
Octoluse 8/1-phosphate,1097284.674,1141065.859,925381.0554,998891.1259,792528.2372,835790.2621,998182.6943,994034.8894,903865.7106,794894.5747,1111846.841,790224.2156,912482.4932,857632.296,785429.4606,779568.6156,980362.7866,830784.5073,761786.5013,1115137.303,1181748.032,1466125.736,1022736.647,1317358.155,1079233.893,1204813.527,1341879.131,1354633.181,1219655.027,933691.1747,1362678.566,1347507.034,1296375.759,1474189.867,1129500.977,1268113.298
lysine,18477793.52,20320798.89,13111079.07,15283687.03,14563995.61,15632741.39,24623679.36,12611763.26,15489525.31,18334610.89,14836881.46,10451887.04,15350839.1,11092327.24,10516221.04,12547629.63,19989158.62,14550328.65,13414796.37,14508679.94,18023474.3,24507726.99,17479655.37,16363258.44,14756722.59,17151399.95,16907792.04,19182823.16,27615621.07,21355070.43,31236099.66,31402517.87,29282270.84,29617285.08,26235753.91,26037636.52
FAD,279382.4955,367999.8436,330122.8432,401198.4621,257546.3254,292826.0677,272727.7257,263403.5803,234332.0229,271614.5038,390755.0253,272783.755,378140.4223,372045.7663,323103.7083,308148.8352,540622.7965,413700.7931,333974.0996,323921.8231,424686.9308,518875.3214,456726.0434,451736.9235,464148.3257,540118.1744,545198.1587,491265.5468,460448.5355,531749.017,600582.7071,624599.5082,625605.3062,677317.1045,629905.3792,697598.7685
Citraconic Acid,40809080.88,44149278.09,37011940.37,40031957.25,41839395.63,42743934.42,37271169.73,40038866.64,34596196.76,41113698.22,55701404.34,49128287.56,50430630.31,45538977.73,44412318.59,43325886.34,50636009.28,60170197.92,36897447.24,46296243.58,53839473.26,71179539.41,60670582.9,62102738.07,59861908.11,52148329.06,50178561.46,59638467.82,60630582.54,58583737.43,27089255.3,28449132.77,27739897.46,31098711.6,30365762.57,31520338.42
butanoate,34179217.97,37731136.47,18602526.13,26717508.78,33482165.09,34882252.69,36666806.67,23844383.5,21696965.54,28153025.45,41526323.37,24371099.24,40597284.35,29474022.39,27822129.11,29897687.97,48162946.42,41549571.62,18169349.52,22680065.92,33117026.3,56060040.31,42537031.17,37191654.7,33379418.84,25265829.13,23671849.11,38245900.33,43553734.18,45595760.49,28531377.88,27372884.79,27087396.99,27043363.69,22371967.93,23658045.48
DLS/IDS/SDL/SID,688473.3515,663971.3687,608531.6783,718049.7757,287269.6217,304356.2746,609783.7278,553939.9133,897468.967,1075714.841,979154.3035,738618.2937,983469.4624,958898.9348,549435.344,536258.1965,1981892.384,1589517.19,1619849.432,1801537.996,2056607.35,2838185.515,2385146.422,2389860.407,2054447.837,2282652.536,2522318.979,2498646.099,2524860.493,2654262.659,916238.2371,887693.9102,883850.1844,995167.9095,993909.7527,1025128.563
N-acetyl-glutamate,633992.2822,670934.1971,644846.4471,656515.5271,424857.155,456624.2092,581033.302,617231.5905,623453.785,739981.3531,607594.2125,572914.8132,614034.827,567926.6274,526540.8061,496147.922,658614.1751,618170.3144,509902.2676,537666.303,647142.5027,1003200.469,759990.224,711103.1011,580708.7189,761473.0263,706626.14,731282.5553,713375.7036,715536.5655,871883.5061,927210.7388,862311.9905,914303.6158,941379.2981,1020105.524
Methionine,7120008.736,8808277.595,5036170.22,6255349.5,6415809.377,7095968.055,9151161.207,4236243.636,5396336.555,6926939.49,4899469.384,3341168.957,5718678.217,3338879.302,3903877.357,5013611.831,7965121.875,5413520.204,3564255.723,3932831.178,4812496.17,8858288.424,6241656.663,5643062.629,4820854.169,5697261.13,4626944.152,5639720.176,8749244.021,6868672.306,8827402.346,9791586.818,9218786.573,10363574.04,10594109.36,10259198.06
tryptophan,4260563.974,3808850.524,4367648.581,3904961.861,2563436.528,2294448.729,7171696.394,3097354.621,5298848.59,4890161.645,1806085.071,1684897.873,2622898.913,1867526.29,1798040.72,2394458.132,2371132.602,1662976.225,2618991.176,2829215.856,3080379.03,2325141.597,2829299.192,2917386.639,2256447.898,3505249.902,3483518.582,2331091.672,3892227.89,2707933.838,7403965.076,7472092.266,6743685.891,6218851.925,6554307.738,6116138.728
hydroxypyruvate,65588053.85,67669259.84,58787232.11,69189842.52,58546071.23,60830603.85,63590322.27,58890925.61,55832251.25,65853929.42,69687057.83,70332326.77,68538811.71,67674774.72,67905942.5,61012707.28,71647820.51,73251050.67,62425908.68,67011402.98,68385862.06,80511327.76,70127000.25,76883727.11,69487965.59,77262915.83,75600590.27,72648080.57,74023708.93,80513766.36,51613172.28,56082832.96,55030419.4,60648503.49,61126139.07,62601072.24
pantothenate,7626565.746,8378913.678,4284446.078,4536192.797,6031881.245,6239798.122,9162058.895,3746319.288,5197318.83,6002089.851,4994978.756,2690934.875,6040002.572,3596120.744,3386477.223,4851382.936,8143742.168,5860417.365,2637350.22,2633622.137,3613008.105,6347125.202,4351292.295,3778257.948,3332115.885,3441666.527,3087372.106,4089814.218,7207955.829,5169278.634,11644642.18,11447740.29,9405230.661,11000594.45,9267891.711,9077590.904
phosphoenolpyruvate,3773729.352,7309558.587,4539559.442,5725758.852,5199153.2,6468320.797,4711328.164,4642910.215,3523960.054,3854348.565,13529905.97,10789537.88,13495852.08,12995327.86,10477412.46,11615976.2,15478471.44,11448696.46,8616119.463,8886171.983,15583050.89,18850053.06,15397146.25,15631708.15,13133045.57,13424303.17,13264559.1,17033187.96,17710072.75,15716332.27,11161918.63,10226341.27,9071289.688,9456255.241,8572195.576,8625490.216
3-hydroxybenzyl alcohol,14729809.86,15993108.4,11855395.84,14256851.92,15158272.37,15104337.12,11475012.89,13332023.47,10715473.97,13872172.21,21823405.64,17545164.71,19188286.56,18015509.73,16615691.18,16257415.7,23469767.37,22728773.26,15160160.64,16780616.64,18667393.23,27400187.62,24217727.19,21187921.14,21837177.71,18320841.59,17022307.36,20109134.98,20485203.01,23172010.91,10455086.7,10420716.51,11004244.65,11906044.23,12231068.05,12207940.9
citicoline,390641.1875,417619.2004,477026.2483,463336.9946,309336.8606,288401.6115,379495.3976,435604.2266,342017.2548,450280.9158,672187.0281,472915.5254,742282.8813,697810.7262,530423.8091,486401.9884,648399.0574,629851.8976,425440.7568,517437.6292,725053.5274,987958.764,892378.9951,875319.846,651524.0779,705263.1006,684896.3664,719897.693,607441.3473,746683.7267,613626.1467,685165.288,609710.9262,675712.7131,748285.1172,707486.5222
3-phosphoglycerate,10226538.18,17371268.56,10732316.7,15338000.26,14510864.38,16596023.66,13098534.32,11705977.61,10377380.15,9407686.852,20386472.77,18863113.57,21748850.21,23344262.91,19605822.33,21911331.94,29629263.84,20571709.64,19456769.32,18915889.19,28151527.99,26809588.39,21849134.95,25725389.32,25112928.91,26592018.01,26940259.38,30691415.33,28753493.66,23567587.74,27759650.98,25134567.12,23194968.31,22877429.53,20999895.89,21243461.46
Phenol Red,178595943.4,134666173.3,103361086.6,138329452.9,119145949.6,100919291.2,100083802.6,123793829.5,85792731.74,115773263.3,141443610.1,136343494.4,190771192.7,121411551.1,110361226.1,155155995.2,263056980.7,209995742.4,157315622.2,154442107.2,147500546.2,210778568.7,140188360.4,144283777.5,220589605.7,145923509.7,132506238.1,182740786.1,109917049.6,104356561.5,163943931,158285616.4,131990082,168939288.4,154520770,179127094.9
3-hydroxymethylglutarate,267141826.5,334890674.4,277441511.4,331620091.7,253302745.6,240292164,351301759.9,272695097.4,253120641.3,315127605.7,239840516.3,278755099.7,295717605,253865601.8,274371702.8,248435527.6,236499307.7,280162288.8,239784325.8,273440145.1,244869663.5,298196893.9,320841606.5,318298587.2,289549752.1,325758685.4,309630481.5,252381612.4,260341216.9,340175570.1,223203641.6,258641131.4,266544201.2,285560832.2,278846979.7,284673011.7
5-valerolactone,50003281.94,63343763.42,52416489.76,61880564.74,47466339.87,45257270.37,65698365.68,51207551.4,46817910.07,59299851.3,45424332.59,52361383.88,55720274.3,47656963.95,52030405.1,46212930.95,44692564.96,53021509.19,44720735.82,51115454.98,45304788.9,56651739.75,60976918,59670268.18,54823815.47,61438569.59,58020807.32,47333036.97,48285486.84,63656716.99,40589222.54,48331946.42,50347055.26,52157382.46,50771821.13,52063126.61
norleucine,124406964.7,154270281.7,88839332.63,113279075.8,118990885.8,123508063.5,182478779.6,83882933.87,97091054.29,129349247.2,87226669.75,62323841.3,112742806.1,63650606.51,76963655.36,92984131.52,138862384.5,95840434.6,62579417.61,65124165.32,76995678.78,146113999.7,100933158.3,92506485.88,81964265.28,101607236.7,87232971.78,96652798.69,149373191.7,120056366.2,148010434,183784434.1,172160211,197150279.4,190698895.2,188725277.7
Ascorbate,2230139.334,2435691.197,1974684.324,2169463.028,2200973.91,2285365.337,2523106.035,2150612.284,1971138.641,2027997.673,2626401.408,2024306.337,2580380.271,2476284.811,2154370.579,2213807.885,3458072.736,2637152.216,1953767.665,1935774.353,3754751.214,4092994.127,3183099.221,3117172.404,3103751.756,3119968.519,3165990.171,4401054.81,3982385.318,3144370.012,2261656.399,1965499.699,1855779.231,1892574.567,1732634.737,1613524.494
allothreonine,44228703.68,44587752.29,22986087.96,30469414.28,35283817.41,38710261.07,57860516.03,26630282.73,29173974.93,34769822.13,25308066.97,16088541.19,28067246.22,19799220.23,19389697.76,23938175.66,43211862.99,26189030.12,18971076.57,19004895.15,34717141.49,50351234.88,32831913.72,31882967.54,30041083.2,29025864.3,28649757.25,38493076.37,53831692.51,40704213.89,58545976.96,58563259.38,53092933.7,58034596.65,43900908.78,45531800.44
alanine/sarcosine,10186190.44,9272014.416,9129274.318,9287221.668,6288811.874,6239088.891,8086749.454,7673969.337,8884166.51,11710867.56,7951072.765,7376940.389,9296419.072,8947028.366,7129738.066,7399575.017,10214364.42,8728059.021,8820722.421,9169239.205,16193341.39,22626577.39,20965650.74,21307870.14,16917709.92,21192735.58,22442282.89,18623548.41,18980725.69,21042035.02,18214402.92,19513281.55,19846795.2,22835307.21,23123310.22,22148219.92
3-Methylphenylacetic Acid,3486829.778,3694929.08,3890462.057,4110361.071,4076051.345,4744321.665,3112006.695,6485323.537,2946659.806,4442227.804,11234206.88,9664715.84,10502512,13001446.08,7807676.968,9485772.043,8580750.791,8398299.511,6771051.044,10579447.3,5281573.123,7978728.219,7026720.027,5445138.25,8946532.846,6375769.036,3343010.567,5490897.209,3209562.044,6871867.699,4226336.179,4323476.813,4694548.101,5598269.981,5242231.529,4845592.341
PD,5720658.005,6077542.561,5679616.208,5592945.941,3260424.934,3320133.26,6495527.521,6559534.564,12500715.86,12955547.98,9174301.715,6750202.648,9412923.84,10313676.15,5633258.333,6323910.575,15455044.12,11991764.22,15614508.51,17285676.68,12471980.87,16502220.95,13053333.34,12094277.5,10275483.07,10949685.55,10082666.29,13038929.94,14167356.59,12223647.4,11409127.12,9742844.892,8829481.185,9107492.075,8238037.287,8387118.549
N-ACETYLGLYCINE ,1029157.415,1052011.535,1349996.835,1127562.927,776147.8166,756765.1122,1227223.036,1073646.589,1158780.313,1115599.016,1092858.921,914333.172,1156490.237,1142268.87,978829.4649,1095032.872,1648368.261,1063793.473,904175.8201,914521.8225,1687695.694,1481636.586,1243990.106,1128220.736,691342.0769,1562524.529,1389123.528,1470061.713,1881614.475,1123673.366,2765516.835,2056992.496,2044964.971,2467302.354,2008749.72,2128695.103
valine,27705481.54,32176596.39,21174517.04,23510072.97,23345761.01,24870239.86,39478739.29,18254717.01,21855909.59,28940897.02,19343496.14,13483628.24,24280995.93,15059414.57,16507494.74,18552498.97,29552687.46,20448034.32,16424882.91,16788053.48,17233300.7,33627342.61,22268046.3,20494599.68,18863115.49,22510327.16,21963487.14,21553002.65,35609792.87,27669992.89,29446816.43,39426201.95,36941269.87,42958293.31,39371749.2,39705167.35
beta-alanine,2129969.583,2599764.159,2323130.382,2613935.738,1903295.782,1950889.648,3436853.871,2081749.889,2223545.934,2725790.915,1536779.122,1491010.188,2544174.421,2170212.518,1974114.279,2221968.917,2467828.406,1764866.226,2681335.347,2641924.049,2292841.368,2976065.582,3474914.045,3466148.052,3114597.265,3774415.743,4042481.618,3426379.537,3671283.086,3548473.653,3478042.586,4510308.673,4430422.827,4837882.978,4755727.518,4719889.758
Lactate,2717053829,2324117404,1849595488,1664972017,1864905275,1721651467,1954703703,1464770335,1954075291,2091383611,932413991.4,736896423.1,1208117453,709036366.3,1035974847,915782240.1,1581073826,1119858912,678001075.8,699666416.3,1070102454,1905134857,1253620098,1242133981,1156245939,1254020054,1258714697,1246034062,1542389613,1580581209,2017615390,2299138177,2321055678,2737191666,2605687982,2684383165
picolinate,60378.36245,130331.6397,142237.8943,78120.79263,61483.91223,11178.76658,53285.67809,101685.014,31565.99339,51159.12955,23521.79914,2301.563425,116054.3092,2849.643742,98003.85114,101131.6596,34799.93309,128945.4831,84609.27869,104427.0157,61320.42282,124174.4569,67812.97543,122339.0603,66819.6954,77847.23969,118906.2017,55352.05672,28952.65697,59743.51012,466950.5321,459180.2601,408576.6012,546019.1274,450165.8093,565690.0134
Fructose-1-6-Bisphosphate,984119.6973,2463367.215,1337969.705,3089235.41,2157712.39,2756552.158,2850430.119,1999917.8,1958094.664,2313173.45,4390252.381,4821399.47,4610539.221,5364241.361,6133323.179,5263159.604,7483227.932,6731881.831,4727571.454,5547770.62,14700084.5,12725695,12490386.86,14056920.92,14229379.84,13464565.1,14747635.36,17456825.86,16551327.48,13507841.56,11647054.15,13334369.74,14072773.97,13644866.8,15374324.91,15549609.38
Inosine,4543241.891,3260151.77,4120240.544,2179291.727,1677926.985,1430213.295,5081688.26,2225587.046,5612925.928,4076127.628,383384.8626,518763.1553,466117.5255,358989.6509,465493.1134,576582.4809,501871.3076,230569.22,512856.5209,432282.5019,554445.6853,506768.4635,296959.1739,318393.4802,520320.9145,827466.8937,1044663.715,479348.3433,899034.4695,577566.5879,3371268.633,3390894.739,2692348.053,2643106.263,2530986.449,2452162.241
SD,584688.6281,569962.5983,594519.086,589166.4104,359729.7291,356718.5888,629137.2964,616292.5039,1008035.754,878155.646,449364.1611,414855.4072,561889.3761,664279.7703,404740.9916,481859.4733,703673.4604,506944.7435,852667.1538,863368.0592,1331246.092,1294426.216,1185162.757,1290230.893,1158863.427,1354682.533,1270367.356,1395630.36,1301575.989,1041235.044,1153349.619,1044994.816,908598.7128,898497.9801,783281.5414,790659.8632
dGTP/ATP,1423889.03,4912384.437,1208926.079,4517998.399,6300424.88,7465687.891,1639456.69,3176023.995,1208950.703,2100028.169,16712804.83,10720201.49,18579778.84,14198317.92,12920302.63,17391916.55,49074085.9,29188117.63,15397776.68,10077113.29,14805472.92,17197345.4,12784619.6,14068042.83,16904369.05,13336497.18,9470008.613,19401133.44,17120485.91,23864725.34,14131895.87,12878169.71,12206396.21,10996178.59,10151583.01,9155133.945
dehydroascorbate,2813439.391,4880733.246,4528004.591,5625370.879,3413500.634,3616907.669,5216872.612,4121287.109,3386089.848,4608484.494,2967065.595,4829809.57,3740519.222,3912978.066,4425861.596,3879412.947,3304405.021,3905849.109,4462550.239,5042042.781,4744086.812,5439294.822,5847707.49,6482082.476,6369642.79,8552949.13,7937027.367,5642708.103,6218106.612,6525410.852,3684262.329,4626222.191,4229367.563,5301784.803,5706502.612,5697523.757
guanine,107458.2493,47824.79545,230561.8259,119944.3039,23705.23936,33884.26558,199123.972,80517.68022,316144.1378,255195.1928,86699.12052,214434.8665,59438.7255,143103.8179,84585.83129,77576.28805,33752.15935,58657.59244,203149.2455,242522.4253,97609.95715,53580.89122,18201.7571,55025.76685,25123.84824,151124.4218,177927.91,75312.15303,41747.28177,35631.94354,342807.2915,345360.301,254875.6713,254273.5898,267916.6946,200912.0637
6-phospho-D-gluconate,1150679.737,2334010.277,1547530.621,2123493.505,1820594.776,2015758.447,1854200.238,1732384.942,1513347.64,1278631.799,2954328.935,2807875.523,2837753.834,3575842.853,2940207.113,3298571.624,3912593.594,3304364.329,2875103.698,2745640.116,4359375.97,3654047.085,3240326.55,3383572.042,3709368.789,4295518.642,3949899.575,4462917.883,4089549.107,3109578.217,5235308.894,4600076.176,4036853.356,3932945.688,3102829.639,2989190.424
shikimate,27337306.32,35143776.17,24677296.49,29569278.78,25489080.26,20292084.95,40124965.28,25444916.36,22777093.4,30337036.32,13961887.82,22141741.02,21038794.91,16701370.9,23370691.47,14637605.98,14405850.32,21614647.09,18174427.42,20489579.52,18796410.66,24335165.31,26738966.92,27399267.22,26033291.98,31780501.37,28732288.8,20329947.67,19320422.72,28381283.01,16638795.75,26499467.24,25533560.84,28622633.42,31436051.89,29157456.99
Shikimate-3-Phosphate,979440.2837,883808.8724,1174185.394,1287343.652,1056221.217,1245320.8,1307815.598,1185658.519,1051206.062,1104858.212,1467254.074,1274370.29,1470230.775,1471542.125,1338501.207,1540158.75,1939984.677,1256750.751,826021.6216,1151437.161,2191013.396,3562325.901,2616629.411,2676927.592,2121862.624,1800363.137,1841748.571,2494504.61,2313147.195,2984211.199,2128250.798,1317782.988,1713901.74,1284890.17,1755799.738,1448164.841
2-oxobutanoate,26850968.69,36086084.23,31566279.23,36957397.46,23361376,21483961.39,35901821.99,27257777.62,24663631.13,33250771.66,20001755.67,25319605.58,25881342.21,22370949.07,25162036.68,20656562.8,20005305.89,23251919.49,21652641.35,24620768.24,20861541.45,26074425.96,26910503.7,26978864.11,24278152.89,30728983.82,28420256.47,20354737.29,21321550.77,27581194.27,22890336.11,32748513.67,33502602.31,37577182.66,41803825.27,41466901
